Wavefronts,L2CacheHit,VALUInsts,SALUInsts,FlatVMemInsts,LDSInsts,GDSInsts,DurationNs,NKernels,NEvents,TraceSize,Experience
36441314,482121,6410108,472032,388028,0,0,1896870148,16004,932664,23254108,cfd
36441314,482175,6410108,472032,388028,0,0,1916275851,16004,932664,23254108,cfd
36441314,482098,6410108,472032,388028,0,0,1917381185,16004,932664,23254108,cfd
36441314,482065,6410108,472032,388028,0,0,1910781535,16004,932664,23254108,cfd
36441314,482208,6410108,472032,388028,0,0,1877014881,16004,932664,23254108,cfd
36441314,482065,6410108,472032,388028,0,0,1924671970,16004,932664,23254108,cfd
36441314,482059,6410108,472032,388028,0,0,1923992795,16004,932663,23254108,cfd
36441314,482069,6410108,472032,388028,0,0,1901298841,16004,932664,23254108,cfd
36441314,482111,6410108,472032,388028,0,0,1915335706,16004,932666,23254108,cfd
36441314,482061,6410108,472032,388028,0,0,1919998648,16004,932664,23254108,cfd
36441314,482061,6410108,472032,388028,0,0,1903711505,16004,932666,23254108,cfd
36441314,482059,6410108,472032,388028,0,0,1908039243,16004,932664,23254108,cfd
36441314,482067,6410108,472032,388028,0,0,1899550603,16004,932663,23254108,cfd
36441314,482184,6410108,472032,388028,0,0,1884961453,16004,932666,23254108,cfd
36441314,482078,6410108,472032,388028,0,0,1907704373,16004,932665,23254108,cfd
144,398,19578,87211,45,0,0,2658041,9,9883,1380706,particlefilter
144,404,19578,87211,45,0,0,2661156,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2659347,9,9892,1380706,particlefilter
144,403,19578,87211,45,0,0,2670635,9,9885,1380706,particlefilter
144,408,19578,87211,45,0,0,2656709,9,9903,1380706,particlefilter
144,393,19578,87211,45,0,0,2660859,9,9899,1380706,particlefilter
144,396,19578,87211,45,0,0,2660561,9,9900,1380706,particlefilter
144,405,19578,87211,45,0,0,2652713,9,9889,1380706,particlefilter
144,403,19578,87211,45,0,0,2662159,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2658795,9,9891,1380706,particlefilter
144,403,19578,87211,45,0,0,2654339,9,9891,1380706,particlefilter
144,401,19578,87211,45,0,0,2662189,9,9914,1380706,particlefilter
144,390,19578,87211,45,0,0,2665280,9,9916,1380706,particlefilter
144,404,19578,87211,45,0,0,2657748,9,9901,1380706,particlefilter
144,405,19578,87211,45,0,0,2654752,9,9907,1380706,particlefilter
144,403,19578,87211,45,0,0,2659374,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2673006,9,9887,1380706,particlefilter
144,403,19578,87211,45,0,0,2657599,9,9885,1380706,particlefilter
144,408,19578,87211,45,0,0,2655833,9,9907,1380706,particlefilter
144,395,19578,87211,45,0,0,2659378,9,9894,1380706,particlefilter
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100597,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99412,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100301,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,98819,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100449,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100004,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100597,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100744,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99856,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99857,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100894,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100152,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100005,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,98967,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
